item_id,annotator,score,unratable,ts_iso,dwell_ms
A001,HL,90,0,2026-07-17T14:37:13,367577
A002,HL,86,0,2026-07-17T14:42:06,293755
A003,HL,5,0,2026-07-17T14:45:43,216025
A004,HL,100,0,2026-07-17T14:47:32,109236
A005,HL,2,0,2026-07-17T14:48:56,84520
A006,HL,70,0,2026-07-17T14:51:10,132933
A007,HL,100,0,2026-07-17T14:52:11,61632
A008,HL,50,0,2026-07-17T14:53:10,58314
A009,HL,20,0,2026-07-17T14:57:12,242566
A010,HL,100,0,2026-07-17T14:57:44,31739
A011,HL,5,0,2026-07-17T14:58:27,42319
A012,HL,70,0,2026-07-17T15:01:29,182731
A013,HL,77,0,2026-07-17T15:03:42,132196
A014,HL,95,0,2026-07-17T15:05:20,97817
A015,HL,75,0,2026-07-17T15:09:27,247063
A016,HL,20,0,2026-07-17T15:10:42,75548
A017,HL,90,0,2026-07-18T16:11:07,890553
A018,HL,98,0,2026-07-21T11:35:00,
A019,HL,25,0,2026-07-20T14:58:53,55260
A020,HL,80,0,2026-07-20T15:00:34,100993
A021,HL,95,0,2026-07-20T15:01:46,71496
A022,HL,70,0,2026-07-20T15:03:06,80083
A023,HL,5,0,2026-07-20T15:03:47,40570
A024,HL,95,0,2026-07-20T15:04:46,58638
A025,HL,0,0,2026-07-20T15:05:28,42310
A026,HL,80,0,2026-07-20T15:07:32,124308
A027,HL,10,0,2026-07-20T15:08:15,42527
A028,HL,60,0,2026-07-20T15:09:13,57667
A029,HL,65,0,2026-07-20T15:09:57,44461
A030,HL,45,0,2026-07-20T15:11:35,98001
A031,HL,90,0,2026-07-20T15:12:38,62690
A032,HL,5,0,2026-07-20T15:13:21,43156
A033,HL,5,0,2026-07-20T15:13:39,17982
A034,HL,70,0,2026-07-20T15:14:22,42528
A035,HL,100,0,2026-07-20T15:14:56,33486
A036,HL,100,0,2026-07-20T15:16:28,92443
A037,HL,10,0,2026-07-20T15:17:30,61430
A038,HL,95,0,2026-07-20T15:18:00,30237
A039,HL,5,0,2026-07-20T15:18:28,27650
A040,HL,60,0,2026-07-20T15:19:58,90655
A041,HL,15,0,2026-07-20T15:20:45,46274
A042,HL,85,0,2026-07-20T15:22:49,124466
A043,HL,25,0,2026-07-20T15:24:16,86832
A044,HL,6,0,2026-07-20T15:24:43,26958
A045,HL,90,0,2026-07-20T15:25:15,31731
A046,HL,26,0,2026-07-20T15:26:03,47909
A047,HL,85,0,2026-07-20T15:27:09,65684
A048,HL,85,0,2026-07-20T15:28:12,63438
A049,HL,20,0,2026-07-20T15:28:54,41701
A050,HL,5,0,2026-07-20T15:29:12,18255
A051,HL,80,0,2026-07-20T15:32:11,178389
A052,HL,0,0,2026-07-20T15:32:26,14810
A053,HL,15,0,2026-07-20T15:33:28,62201
A054,HL,15,0,2026-07-20T15:34:15,47044
A055,HL,60,0,2026-07-20T15:35:14,58953
A056,HL,30,0,2026-07-20T15:36:52,97788
A057,HL,11,0,2026-07-20T15:37:18,26448
A058,HL,50,0,2026-07-20T15:38:37,78416
A059,HL,85,0,2026-07-20T15:39:23,46300
A060,HL,70,0,2026-07-20T15:40:29,66110
A061,HL,100,0,2026-07-20T15:41:48,78595
A062,HL,10,0,2026-07-20T15:43:02,74207
A063,HL,11,0,2026-07-20T15:43:39,36527
A064,HL,90,0,2026-07-20T15:44:29,50138
A065,HL,15,0,2026-07-20T15:45:36,66401
A066,HL,11,0,2026-07-20T15:46:03,27410
A067,HL,35,0,2026-07-20T15:47:04,61098
A068,HL,40,0,2026-07-20T15:48:04,60007
A069,HL,90,0,2026-07-20T15:48:46,41581
A070,HL,0,0,2026-07-20T15:50:08,81540
A071,HL,100,0,2026-07-20T15:50:37,29153
A072,HL,15,0,2026-07-20T15:51:15,38184
A073,HL,10,0,2026-07-20T15:51:47,31875
A074,HL,8,0,2026-07-20T15:52:24,36824
A075,HL,4,0,2026-07-20T15:52:56,32029
A076,HL,99,0,2026-07-20T15:53:20,23626
A077,HL,96,0,2026-07-20T15:53:49,29221
A078,HL,2,0,2026-07-20T15:54:40,50827
A079,HL,10,0,2026-07-20T15:55:11,30909
A080,HL,3,0,2026-07-20T15:55:30,18852
A081,HL,82,0,2026-07-20T15:56:59,89276
A082,HL,55,0,2026-07-20T15:58:46,106685
A083,HL,50,0,2026-07-20T17:23:26,3778
A084,HL,69,0,2026-07-20T17:23:57,30547
A085,HL,93,0,2026-07-20T17:24:22,24878
A086,HL,96,0,2026-07-20T17:24:51,28833
A087,HL,11,0,2026-07-20T17:26:29,98024
A088,HL,91,0,2026-07-20T17:26:45,16384
A089,HL,13,0,2026-07-20T17:27:22,36998
A090,HL,13,0,2026-07-20T17:27:54,32084
A091,HL,50,0,2026-07-20T17:29:17,82446
A092,HL,85,0,2026-07-20T17:31:55,158103
A093,HL,94,0,2026-07-20T17:32:08,12792
A094,HL,57,0,2026-07-20T17:33:04,55742
A095,HL,94,0,2026-07-20T17:33:50,46102
A096,HL,92,0,2026-07-20T17:34:18,28562
A097,HL,23,0,2026-07-20T17:35:02,43928
A098,HL,89,0,2026-07-20T17:35:28,25116
A099,HL,45,0,2026-07-20T17:36:31,62888
A100,HL,50,0,2026-07-20T17:37:45,74100
A101,HL,58,0,2026-07-20T17:38:46,61035
A102,HL,2,0,2026-07-20T17:39:19,33072
A103,HL,14,0,2026-07-20T17:40:07,47544
A104,HL,93,0,2026-07-20T17:40:54,46896
A105,HL,28,0,2026-07-20T17:41:50,56643
A106,HL,4,0,2026-07-20T17:42:12,21507
A107,HL,76,0,2026-07-20T17:43:08,55702
A108,HL,100,0,2026-07-20T17:43:24,16284
A109,HL,50,0,2026-07-20T17:44:09,44622
A110,HL,43,0,2026-07-20T17:45:41,92639
A111,HL,9,0,2026-07-20T17:46:35,53144
A112,HL,53,0,2026-07-20T17:47:26,51313
A113,HL,5,0,2026-07-20T17:52:30,303903
A114,HL,0,0,2026-07-20T17:53:15,44963
A115,HL,6,0,2026-07-20T17:53:36,20450
A116,HL,8,0,2026-07-20T17:54:07,31721
A117,HL,18,0,2026-07-20T17:54:52,45047
A118,HL,89,0,2026-07-20T17:55:41,48728
A119,HL,50,0,2026-07-20T17:58:01,139655
A120,HL,96,0,2026-07-20T17:58:19,18276
A121,HL,93,0,2026-07-20T17:58:43,24156
A122,HL,94,0,2026-07-20T17:59:00,16245
A123,HL,50,0,2026-07-20T18:00:06,66733
A124,HL,50,0,2026-07-20T18:00:50,43782
A125,HL,92,0,2026-07-20T18:01:53,62980
A126,HL,13,0,2026-07-20T18:02:25,31569
A127,HL,67,0,2026-07-20T18:03:19,53715
A128,HL,16,0,2026-07-20T18:03:44,24954
A129,HL,55,0,2026-07-20T18:05:19,95560
A130,HL,11,0,2026-07-20T18:05:42,22652
A131,HL,62,0,2026-07-20T18:06:35,52357
A132,HL,11,0,2026-07-20T18:06:52,17736
A133,HL,88,0,2026-07-20T18:07:05,12547
A134,HL,44,0,2026-07-20T18:07:42,36853
A135,HL,8,0,2026-07-20T18:08:58,76411
A136,HL,13,0,2026-07-20T18:09:39,40584
A137,HL,83,0,2026-07-20T18:10:31,51995
A138,HL,50,0,2026-07-20T18:11:04,32668
A139,HL,84,0,2026-07-20T18:11:32,27944
A140,HL,29,0,2026-07-20T18:12:37,65226
A141,HL,32,0,2026-07-20T18:13:22,45451
A142,HL,14,0,2026-07-20T18:13:45,22144
A143,HL,4,0,2026-07-20T18:14:18,33348
A144,HL,22,0,2026-07-20T18:14:44,26151
A145,HL,4,0,2026-07-20T18:15:21,37034
A146,HL,32,0,2026-07-20T18:16:21,59434
A147,HL,64,0,2026-07-20T18:17:28,66766
A148,HL,4,0,2026-07-20T18:17:42,14091
A149,HL,12,0,2026-07-20T18:18:06,24256
A150,HL,6,0,2026-07-20T18:18:39,32628
