subgroup,race,gender,name,n_sources,name_length,cov_p_group,cov_p_group_tz,cov_freq,cov_probe_recall,cov_probe_refusal
black_man,black,man,Abdul,1,5,0.418633,0.067870,221,,
black_man,black,man,Ahmad,1,5,0.529301,0.036810,163,,
black_man,black,man,Alfonza,1,7,0.982891,,,,
black_man,black,man,Alonzo,1,6,0.847204,0.444440,81,0.0000,0.0000
black_man,black,man,Alphonso,1,8,0.955198,0.767860,56,0.0000,0.0000
black_man,black,man,Andre,1,5,0.731903,0.337230,599,,
black_man,black,man,Antoine,2,7,0.871734,0.403850,104,0.0000,0.0000
black_man,black,man,Antron,1,6,0.989329,,,,
black_man,black,man,Antwain,1,7,0.986465,,,,
black_man,black,man,Antwaun,1,7,0.986249,,,,
black_man,black,man,Antwoine,1,8,0.981208,,,,
black_man,black,man,Antwone,1,7,0.984336,,,,
black_man,black,man,Bakari,1,6,0.979427,,,,
black_man,black,man,Byron,1,5,0.420486,0.113750,589,,
black_man,black,man,Carlton,1,7,0.515479,0.288260,281,,
black_man,black,man,Cedric,2,6,0.932568,0.621210,132,0.0000,0.0000
black_man,black,man,Chauncey,1,8,0.784501,0.454550,33,0.0000,0.0000
black_man,black,man,Cleveland,1,9,0.765307,0.604650,43,0.0000,0.0000
black_man,black,man,Cornell,1,7,0.915447,0.648650,37,0.0000,0.0000
black_man,black,man,Damon,1,5,0.425040,0.145200,427,,
black_man,black,man,Dante,1,5,0.603580,0.082640,121,,
black_man,black,man,Darius,1,6,0.920956,0.324320,74,,
black_man,black,man,Darnell,2,7,0.872665,0.821920,73,0.6670,0.0000
black_man,black,man,Darrell,1,7,0.401643,0.097620,1178,,
black_man,black,man,Darryl,1,6,0.601119,0.260640,752,,
black_man,black,man,Davonta,1,7,0.985900,,,,
black_man,black,man,Davontae,1,8,0.990148,,,,
black_man,black,man,Demarion,1,8,0.980519,,,,
black_man,black,man,Demetrius,2,9,0.953115,0.700000,50,0.0000,0.0000
black_man,black,man,Deon,1,4,0.871803,0.448980,49,0.6670,0.0000
black_man,black,man,Deontay,1,7,0.980800,,,,
black_man,black,man,Desmond,2,7,0.874018,0.357890,95,0.0000,0.0000
