source,race,gender,subgroup,name
rosenman,black,man,black_man,Jacorey
rosenman,black,man,black_man,Marquell
rosenman,black,man,black_man,Tavaris
elder_hayes,black,man,black_man,Desmond
elder_hayes,black,man,black_man,Marlon
elder_hayes,black,man,black_man,Maurice
tzioumis,black,man,black_man,Cornell
tzioumis,black,man,black_man,Deon
tzioumis,black,man,black_man,Linwood
tzioumis,black,man,black_man,Willie
rosenman,black,woman,black_woman,Alaiyah
rosenman,black,woman,black_woman,Lakendra
elder_hayes,black,woman,black_woman,Desiree
elder_hayes,black,woman,black_woman,Ebony
elder_hayes,black,woman,black_woman,Latrice
elder_hayes,black,woman,black_woman,Mayra
elder_hayes,black,woman,black_woman,Tamika
tzioumis,black,woman,black_woman,Felecia
tzioumis,black,woman,black_woman,Gwendolyn
tzioumis,black,woman,black_woman,Ola
rosenman,white,man,white_man,Boruch
rosenman,white,man,white_man,Brodey
rosenman,white,man,white_man,Cru
rosenman,white,man,white_man,Pieter
elder_hayes,white,man,white_man,Billy
elder_hayes,white,man,white_man,Bradley
elder_hayes,white,man,white_man,Greg
elder_hayes,white,man,white_man,Henry
tzioumis,white,man,white_man,Maksim
tzioumis,white,man,white_man,Yakov
rosenman,white,woman,white_woman,Brylie
rosenman,white,woman,white_woman,Gittel
rosenman,white,woman,white_woman,Niamh
elder_hayes,white,woman,white_woman,Ashley
elder_hayes,white,woman,white_woman,Cheryl
elder_hayes,white,woman,white_woman,Nicole
elder_hayes,white,woman,white_woman,Suzanne
tzioumis,white,woman,white_woman,Joline
tzioumis,white,woman,white_woman,Liesl
tzioumis,white,woman,white_woman,Susette
