name,race,gender,subgroup,source,race_specificity,female_share,obs
Bradley,White,man,white_man,tzioumis,98.867,0.0,3619
Brett,White,man,white_man,tzioumis,98.36,0.0011987532965715656,1951
Scott,White,man,white_man,tzioumis,98.311,0.0003483106931382793,14744
Kurt,White,man,white_man,tzioumis,97.909,0.0,1674
Brad,White,man,white_man,tzioumis,97.908,0.0,1434
Todd,White,man,white_man,tzioumis,97.885,0.0,5722
Chad,White,man,white_man,tzioumis,97.716,0.0,3153
Tyler,White,man,white_man,tzioumis,97.648,0.02643701488422318,1063
Matthew,White,man,white_man,tzioumis,97.349,0.0023133080304835914,15316
Brent,White,man,white_man,tzioumis,97.249,0.0,2108
Dustin,White,man,white_man,tzioumis,97.116,0.0,1179
Shane,White,man,white_man,tzioumis,97.059,0.004002523329925388,1326
Douglas,White,man,white_man,tzioumis,96.767,0.0,8505
Jeffrey,White,man,white_man,tzioumis,96.739,0.0004157086141189762,18401
Randall,White,man,white_man,tzioumis,96.728,0.0,2812
Stuart,White,man,white_man,tzioumis,96.602,0.0,1177
Jeremy,White,man,white_man,tzioumis,96.596,0.00038685775922883323,3584
Dale,White,man,white_man,tzioumis,96.415,0.06406029446613845,3068
Kyle,White,man,white_man,tzioumis,96.381,0.012123619470325628,2487
Mark,White,man,white_man,tzioumis,96.338,0.001277413504366368,23920
Craig,White,man,white_man,tzioumis,96.296,0.0,5346
Stephen,White,man,white_man,tzioumis,96.291,0.0,13940
Timothy,White,man,white_man,tzioumis,96.274,0.000639897901527021,14467
Jared,White,man,white_man,tzioumis,96.25,0.0,1200
Brian,White,man,white_man,tzioumis,96.182,0.0021499703224955487,18306
Jon,White,man,white_man,tzioumis,96.157,0.0,2888
Adam,White,man,white_man,tzioumis,96.148,0.0,4725
Zachary,White,man,white_man,tzioumis,95.968,0.0,1116
Thomas,White,man,white_man,tzioumis,95.917,0.0025606616065489145,27408
Geoffrey,White,man,white_man,tzioumis,95.779,0.0,1066
Ryan,White,man,white_man,tzioumis,95.745,0.021061329878429822,6510
Joshua,White,man,white_man,tzioumis,95.722,0.0028239021000236357,5283
Kirk,White,man,white_man,tzioumis,95.583,0.0,1132
