ces_variable,ces_item_short,topic_neutral,liberal_sign,ces_support_code,ces_oppose_code,pct_support,pct_oppose
CC25_324,abortion legality,abortion law,1,3 Permit for other reasons after need established; 4 Always able to obtain abortion as personal choice,1 Never permitted; 2 Permit only in rape incest or life-of-mother cases,,
CC25_321a,assault rifle ban,assault weapon regulation,1,1 Support,2 Oppose,,
CC25_321b,concealed-carry permits,concealed-carry permit policy,-1,1 Support,2 Oppose,,
CC25_321c,firearm background checks,firearm background check policy,1,1 Support,2 Oppose,,
CC25_323a,legal status for long-term undocumented immigrants,legal status for long-term undocumented immigrants,1,1 Support,2 Oppose,,
CC25_323b,border patrol increase,US-Mexico border patrol policy,-1,1 Support,2 Oppose,,
CC25_323c,border wall,US southern border wall policy,-1,1 Support,2 Oppose,,
CC25_323d,Dreamers pathway to citizenship,legal status for people brought to the US as children,1,1 Support,2 Oppose,,
CC25_321d,police staffing increase,police staffing and public-service funding,-1,1 Support,2 Oppose,,
CC25_321e,police staffing decrease,police staffing and public-service funding,1,1 Support,2 Oppose,,
CC25_326a,EPA CO2 regulation,EPA authority over carbon emissions,1,1 Support,2 Oppose,,
CC25_326b,renewable electricity mandate,renewable electricity requirements,1,1 Support,2 Oppose,,
CC25_326c,EPA enforcement and jobs,environmental enforcement and jobs,1,1 Support,2 Oppose,,
CC25_340d,proof of citizenship to vote,proof-of-citizenship requirements for voter registration,-1,1 Support,2 Oppose,,
CC25_343a,gender-affirming care ban for minors,medical care for minors with gender dysphoria,-1,1 Support,2 Oppose,,
CC25_343b,K-3 classroom discussion restriction,discussion of sexual orientation and gender identity in elementary schools,-1,1 Support,2 Oppose,,
CC25_343c,local interference with gender transition operations,local authority over gender transition operations,1,1 Support,2 Oppose,,
