firstname,obs,pcthispanic,pctwhite,pctblack,pctapi,pctaian,pct2prace
AARON,3646,2.88,91.606999999999999,3.2639999999999998,2.0569999999999999,5.5E-2,0.13700000000000001
ABBAS,59,0,71.186000000000007,3.39,25.423999999999999,0,0
ABBEY,57,0,96.491,3.5089999999999999,0,0,0
ABBIE,74,1.351,95.945999999999998,2.7029999999999998,0,0,0
ABBY,262,1.5269999999999999,94.656000000000006,1.5269999999999999,2.29,0,0
ABDUL,221,0.45200000000000001,44.344000000000001,6.7869999999999999,47.511000000000003,0.45200000000000001,0.45200000000000001
ABDULLAH,44,2.2730000000000001,65.909000000000006,9.0909999999999993,22.727,0,0
ABE,31,6.452,77.418999999999997,12.903,3.226,0,0
ABEL,327,82.569000000000003,12.843999999999999,2.141,2.4460000000000002,0,0
ABELARDO,76,78.947000000000003,9.2110000000000003,0,11.842000000000001,0,0
ABHIJIT,34,0,17.646999999999998,0,82.352999999999994,0,0
ABHISHEK,18,0,0,0,100,0,0
ABIGAIL,418,12.201000000000001,81.578999999999994,1.4350000000000001,4.7850000000000001,0,0
ABNER,41,39.024000000000001,34.146000000000001,12.195,14.634,0,0
ABRAHAM,413,30.751000000000001,47.7,7.7480000000000002,12.349,1.4530000000000001,0
ABRAM,43,9.3019999999999996,81.394999999999996,6.9770000000000003,2.3260000000000001,0,0
ADA,199,30.652999999999999,53.265999999999998,7.0350000000000001,8.5429999999999993,0.503,0
ADALBERTO,69,94.203000000000003,5.7969999999999997,0,0,0,0
ADAM,4725,1.9890000000000001,96.147999999999996,0.63500000000000001,1.016,8.5000000000000006E-2,0.127
ADAN,146,91.781000000000006,5.4790000000000001,2.0550000000000002,0.68500000000000005,0,0
ADDIE,49,2.0409999999999999,67.346999999999994,26.530999999999999,2.0409999999999999,2.0409999999999999,0
ADEL,77,9.0909999999999993,71.429000000000002,5.1950000000000003,14.286,0,0
ADELA,122,63.115000000000002,28.689,0,8.1969999999999992,0,0
ADELAIDA,44,52.273000000000003,13.635999999999999,0,34.091000000000001,0,0
ADELAIDE,41,12.195,75.61,12.195,0,0,0
ADELE,193,0.51800000000000002,93.781999999999996,2.5910000000000002,2.5910000000000002,0,0.51800000000000002
ADELINA,62,62.902999999999999,25.806000000000001,1.613,8.0649999999999995,1.613,0
ADELINE,66,10.606,65.152000000000001,7.5759999999999996,15.151999999999999,0,1.5149999999999999
ADINA,55,3.6360000000000001,89.090999999999994,5.4550000000000001,1.8180000000000001,0,0
ADMIR,15,0,100,0,0,0,0
ADNAN,66,0,66.667000000000002,1.5149999999999999,30.303000000000001,1.5149999999999999,0
ADOLFO,179,87.150999999999996,10.055999999999999,0.55900000000000005,2.2349999999999999,0,0
ADOLPH,44,11.364000000000001,72.727000000000004,15.909000000000001,0,0,0
ADRIA,40,10,90,0,0,0,0
ADRIAN,865,36.301000000000002,49.249000000000002,11.098000000000001,2.6589999999999998,0.34699999999999998,0.34699999999999998
ADRIANA,489,62.372,35.991999999999997,0.81799999999999995,0.61299999999999999,0.20399999999999999,0
ADRIANE,58,6.8970000000000002,75.861999999999995,15.516999999999999,1.724,0,0
ADRIANNA,30,43.332999999999998,50,3.3330000000000002,3.3330000000000002,0,0
ADRIANNE,95,3.1579999999999999,89.474000000000004,6.3159999999999998,1.0529999999999999,0,0
ADRIENNE,644,2.0190000000000001,83.385000000000005,12.733000000000001,1.5529999999999999,0.155,0.155
AFSHIN,37,0,83.784000000000006,0,13.513999999999999,0,2.7029999999999998
AGATA,48,2.0830000000000002,97.917000000000002,0,0,0,0
AGATHA,36,2.778,61.110999999999997,16.667000000000002,16.667000000000002,2.778,0
AGNES,352,3.125,67.897999999999996,10.795,17.614000000000001,0.56799999999999995,0
AGNIESZKA,104,1.923,96.153999999999996,0.96199999999999997,0.96199999999999997,0,0
AGUSTIN,239,89.957999999999998,5.8579999999999997,0.41799999999999998,3.766,0,0
AHMAD,163,0.61299999999999999,67.484999999999999,3.681,26.38,1.2270000000000001,0.61299999999999999
AHMED,176,1.1359999999999999,65.340999999999994,8.5229999999999997,22.727,0,2.2730000000000001
AHMET,32,6.25,90.625,0,3.125,0,0
AI,31,3.226,9.6769999999999996,0,87.096999999999994,0,0
AIDA,214,45.793999999999997,37.85,0.93500000000000005,15.420999999999999,0,0
AILEEN,186,9.14,65.590999999999994,2.1509999999999998,22.581,0,0.53800000000000003
AIMEE,611,2.782,93.453000000000003,0.32700000000000001,3.11,0.16400000000000001,0.16400000000000001
AISHA,72,5.556,25,59.722000000000001,9.7219999999999995,0,0
AJAY,154,0.64900000000000002,25.324999999999999,0.64900000000000002,70.778999999999996,1.948,0.64900000000000002
AJIT,68,1.4710000000000001,20.588000000000001,0,77.941000000000003,0,0
AKBAR,31,0,48.387,0,51.613,0,0
AKIKO,33,3.03,27.273,3.03,66.667000000000002,0,0
AL,92,5.4349999999999996,73.912999999999997,10.87,8.6959999999999997,1.087,0
ALAIN,114,14.035,66.667000000000002,10.526,7.8949999999999996,0,0.877
ALAINA,55,1.8180000000000001,94.545000000000002,1.8180000000000001,1.8180000000000001,0,0
ALAN,4795,1.502,92.471000000000004,1.0640000000000001,4.7969999999999997,0.104,6.3E-2
ALANA,153,5.2290000000000001,84.966999999999999,8.4969999999999999,1.3069999999999999,0,0
ALANE,22,0,100,0,0,0,0
ALANNA,53,0,96.225999999999999,0,1.887,1.887,0
ALASTAIR,18,0,100,0,0,0,0
ALBA,113,82.301000000000002,16.814,0,0.88500000000000001,0,0
ALBERT,2425,9.5259999999999998,75.093000000000004,7.4640000000000004,7.5460000000000003,0.20599999999999999,0.16500000000000001
ALBERTA,132,7.5759999999999996,62.878999999999998,27.273,2.2730000000000001,0,0
ALBERTO,674,81.305999999999997,11.128,0.44500000000000001,6.8250000000000002,0.29699999999999999,0
ALDEN,38,7.8949999999999996,78.947000000000003,2.6320000000000001,10.526,0,0
ALDO,114,58.771999999999998,37.719000000000001,0,3.5089999999999999,0,0
ALEC,109,0,89.908000000000001,1.835,8.2569999999999997,0,0
ALECIA,89,2.2469999999999999,78.652000000000001,16.853999999999999,0,2.2469999999999999,0
ALEJANDRA,183,87.977999999999994,8.7430000000000003,0,3.2789999999999999,0,0
ALEJANDRO,821,90.134,6.9429999999999996,0.122,2.8010000000000002,0,0
ALEKSANDAR,30,0,100,0,0,0,0
ALEKSANDER,33,0,96.97,0,0,0,3.03
ALEKSANDR,185,0.54100000000000004,98.378,0,1.081,0,0
ALEKSANDRA,47,0,100,0,0,0,0
ALEKSEY,53,0,96.225999999999999,0,3.774,0,0
ALEN,31,3.226,90.322999999999993,0,6.452,0,0
ALENA,58,1.724,86.206999999999994,8.6210000000000004,3.448,0,0
ALENE,31,0,87.096999999999994,6.452,3.226,0,3.226
ALESHA,36,2.778,80.555999999999997,16.667000000000002,0,0,0
ALESIA,49,6.1219999999999999,61.223999999999997,32.652999999999999,0,0,0
ALESSANDRA,34,8.8239999999999998,91.176000000000002,0,0,0,0
ALESSANDRO,46,4.3479999999999999,89.13,2.1739999999999999,4.3479999999999999,0,0
ALETA,49,2.0409999999999999,89.796000000000006,8.1630000000000003,0,0,0
ALEX,1371,18.963999999999999,64.406000000000006,3.1360000000000001,12.983000000000001,0.219,0.29199999999999998
ALEXA,78,2.5640000000000001,94.872,2.5640000000000001,0,0,0
ALEXANDER,2247,8.6780000000000008,81.531000000000006,2.7589999999999999,6.6310000000000002,0.13400000000000001,0.26700000000000002
ALEXANDR,18,0,100,0,0,0,0
ALEXANDRA,504,10.714,85.516000000000005,1.19,1.984,0.19800000000000001,0.39700000000000002
ALEXANDRE,80,10,83.75,2.5,3.75,0,0
ALEXANDRIA,92,7.609,84.783000000000001,2.1739999999999999,4.3479999999999999,1.087,0
ALEXANDRU,31,6.452,93.548000000000002,0,0,0,0
ALEXEI,30,0,100,0,0,0,0
ALEXEY,21,0,100,0,0,0,0
ALEXIA,38,0,86.841999999999999,10.526,2.6320000000000001,0,0
ALEXIS,452,14.159000000000001,77.655000000000001,5.0880000000000001,2.8759999999999999,0,0.221
ALF,15,0,100,0,0,0,0
ALFONSO,482,78.215999999999994,13.071,3.9420000000000002,4.5640000000000001,0,0.20699999999999999
ALFRED,1237,10.186,75.828999999999994,9.0540000000000003,4.6890000000000001,8.1000000000000003E-2,0.16200000000000001
ALFREDA,35,2.8570000000000002,22.856999999999999,71.429000000000002,2.8570000000000002,0,0
ALFREDO,687,80.64,10.771000000000001,0.72799999999999998,7.86,0,0
ALI,514,1.946,72.763000000000005,4.28,19.454999999999998,0.97299999999999998,0.58399999999999996
ALIA,30,6.6669999999999998,73.332999999999998,3.3330000000000002,16.667000000000002,0,0
ALICE,1923,4.8879999999999999,80.135000000000005,6.2919999999999998,8.1639999999999997,0.20799999999999999,0.312
ALICIA,1719,24.375,66.667000000000002,5.9340000000000002,2.734,0.11600000000000001,0.17499999999999999
ALICJA,31,0,100,0,0,0,0
ALIDA,34,23.529,73.528999999999996,2.9409999999999998,0,0,0
ALINA,137,21.167999999999999,72.992999999999995,2.19,3.65,0,0
ALINE,58,1.724,81.034000000000006,10.345000000000001,6.8970000000000002,0,0
ALIREZA,73,1.37,93.150999999999996,0,5.4790000000000001,0,0
ALISA,338,2.0710000000000002,86.686000000000007,7.3959999999999999,3.8460000000000001,0,0
ALISHA,213,3.286,84.977000000000004,10.329000000000001,0.46899999999999997,0.46899999999999997,0.46899999999999997
ALISON,1403,0.78400000000000003,96.293999999999997,1.2829999999999999,1.5680000000000001,0,7.0999999999999994E-2
ALISSA,224,1.339,95.536000000000001,1.786,0.89300000000000002,0.44600000000000001,0
ALISTAIR,26,0,100,0,0,0,0
ALIX,37,5.4050000000000002,75.676000000000002,13.513999999999999,2.7029999999999998,0,2.7029999999999998
ALIZA,33,6.0609999999999999,81.817999999999998,9.0909999999999993,0,3.03,0
ALKA,36,0,16.667000000000002,0,80.555999999999997,2.778,0
ALLA,126,0.79400000000000004,99.206000000000003,0,0,0,0
ALLAN,1113,2.0659999999999998,88.23,1.887,7.4569999999999999,0.09,0.27
ALLEN,1912,1.046,88.754999999999995,4.4980000000000002,5.1779999999999999,5.1999999999999998E-2,0.47099999999999997
ALLENE,31,0,70.968000000000004,22.581,6.452,0,0
ALLISON,1774,0.62,95.378,1.917,1.917,0,0.16900000000000001
ALLYN,57,5.2629999999999999,91.227999999999994,3.5089999999999999,0,0,0
ALLYSON,255,0,96.078000000000003,3.137,0.78400000000000003,0,0
ALMA,611,56.137,31.588000000000001,7.2009999999999996,5.0739999999999998,0,0
ALOK,36,0,22.222000000000001,2.778,72.221999999999994,2.778,0
ALON,33,0,90.909000000000006,3.03,6.0609999999999999,0,0
ALONSO,51,82.352999999999994,13.725,1.9610000000000001,1.9610000000000001,0,0
ALONZO,81,18.518999999999998,34.567999999999998,44.444000000000003,2.4689999999999999,0,0
ALPHONSE,49,2.0409999999999999,83.673000000000002,14.286,0,0,0
ALPHONSO,56,7.1429999999999998,14.286,76.786000000000001,1.786,0,0
ALTA,47,0,91.489000000000004,6.383,2.1280000000000001,0,0
ALTAGRACIA,43,90.697999999999993,6.9770000000000003,0,2.3260000000000001,0,0
ALTHEA,77,2.597,41.558,50.649000000000001,5.1950000000000003,0,0
ALTON,127,0.78700000000000003,74.016000000000005,22.047000000000001,2.3620000000000001,0.78700000000000003,0
ALVA,71,25.352,53.521000000000001,15.493,5.6340000000000003,0,0
ALVARO,272,87.132000000000005,12.5,0,0.36799999999999999,0,0
ALVIN,595,3.8660000000000001,62.353000000000002,21.007999999999999,12.773,0,0
ALYCE,103,1.9419999999999999,90.290999999999997,6.7960000000000003,0.97099999999999997,0,0
ALYCIA,51,3.9220000000000002,88.234999999999999,7.843,0,0,0
ALYSE,25,0,100,0,0,0,0
ALYSIA,33,0,100,0,0,0,0
ALYSON,193,1.036,96.373000000000005,1.554,1.036,0,0
ALYSSA,321,4.673,91.9,0.312,2.8039999999999998,0,0.312
AMADO,64,68.75,4.6879999999999997,0,26.562999999999999,0,0
AMADOR,35,80,5.7140000000000004,0,14.286,0,0
AMAL,52,0,67.308000000000007,7.6920000000000002,25,0,0
AMALIA,111,57.658000000000001,34.234000000000002,0,7.2069999999999999,0.90100000000000002,0
AMANDA,4395,3.14,94.311999999999998,1.206,0.93300000000000005,0.20499999999999999,0.20499999999999999
AMAR,43,2.3260000000000001,46.512,2.3260000000000001,48.837000000000003,0,0
AMARJIT,45,2.222,15.555999999999999,0,82.221999999999994,0,0
AMBER,1557,1.863,95.055000000000007,1.9910000000000001,0.77100000000000002,0.193,0.128
AMELIA,439,22.096,61.731000000000002,5.4669999999999996,10.706,0,0
AMER,33,0,66.667000000000002,0,33.332999999999998,0,0
AMI,115,0.87,81.739000000000004,4.3479999999999999,13.042999999999999,0,0
AMIE,220,1.3640000000000001,92.727000000000004,3.6360000000000001,2.2730000000000001,0,0
AMIN,52,5.7690000000000001,59.615000000000002,7.6920000000000002,25,1.923,0
AMINA,30,0,46.667000000000002,26.667000000000002,26.667000000000002,0,0
AMIR,209,1.9139999999999999,75.597999999999999,2.3919999999999999,18.181999999999999,0.47799999999999998,1.4350000000000001
AMIT,233,0,24.893000000000001,0.42899999999999999,73.819999999999993,0.85799999999999998,0
AMITA,46,0,26.087,0,67.391000000000005,6.5220000000000002,0
AMOS,103,7.7670000000000003,65.049000000000007,22.33,4.8540000000000001,0,0
AMPARO,87,86.206999999999994,8.0459999999999994,0,5.7469999999999999,0,0
AMY,9775,0.99199999999999999,95.56,0.35799999999999998,2.8439999999999999,0.14299999999999999,0.10199999999999999
AN,111,0,3.6040000000000001,0,96.396000000000001,0,0
ANA,1656,73.248999999999995,23.43,0.90600000000000003,2.2949999999999999,0,0.121
ANABEL,49,83.673000000000002,12.244999999999999,0,4.0819999999999999,0,0
ANAND,137,0.73,21.898,0,74.453000000000003,2.92,0
ANASTASIA,157,0.63700000000000001,94.903999999999996,2.548,1.274,0,0.63700000000000001
ANATOLIY,84,0,100,0,0,0,0
ANATOLY,42,0,97.619,0,2.3809999999999998,0,0
ANCA,19,0,100,0,0,0,0
ANDERS,53,0,98.113,0,1.887,0,0
ANDERSON,47,19.149000000000001,31.914999999999999,34.042999999999999,14.894,0,0
ANDRA,68,0,89.706000000000003,8.8239999999999998,0,1.4710000000000001,0
ANDRE,599,5.5090000000000003,56.927999999999997,33.722999999999999,3.339,0.16700000000000001,0.33400000000000002
ANDREA,4215,4.2699999999999996,89.751000000000005,4.9109999999999996,0.80700000000000005,0.214,4.7E-2
ANDREAS,164,0.61,95.731999999999999,1.829,1.829,0,0
ANDREI,78,2.5640000000000001,92.308000000000007,2.5640000000000001,2.5640000000000001,0,0
ANDRES,482,83.816999999999993,12.656000000000001,0.41499999999999998,2.9049999999999998,0.20699999999999999,0
ANDREW,10945,1.8819999999999999,93.212000000000003,1.69,3.07,0.11,3.6999999999999998E-2
ANDREY,114,0.877,97.367999999999995,0,1.754,0,0
ANDRIA,60,3.3330000000000002,80,11.667,5,0,0
ANDRIY,34,0,100,0,0,0,0
ANDRZEJ,177,0,100,0,0,0,0
ANDY,555,6.306,52.792999999999999,1.6220000000000001,38.558999999999997,0.72099999999999997,0
ANETA,49,0,100,0,0,0,0
ANGEL,888,69.144000000000005,22.635000000000002,3.7160000000000002,4.2789999999999999,0.22500000000000001,0
ANGELA,6432,4.851,85.619,7.1669999999999998,1.9750000000000001,0.187,0.20200000000000001
ANGELIA,100,4,74,20,1,0,1
ANGELICA,453,71.302000000000007,24.724,0.442,3.3109999999999999,0.221,0
ANGELIKA,46,0,91.304000000000002,0,8.6959999999999997,0,0
ANGELINA,292,34.247,50.341999999999999,3.4249999999999998,10.959,0.68500000000000005,0.34200000000000003
ANGELINE,101,0.99,79.207999999999998,3.96,15.842000000000001,0,0
ANGELIQUE,139,5.0359999999999996,77.697999999999993,15.108000000000001,2.1579999999999999,0,0
ANGELITA,86,39.534999999999997,16.279,4.6509999999999998,38.372,0,1.163
ANGELO,486,10.494,84.774000000000001,3.0859999999999999,1.44,0.20599999999999999,0
ANGIE,379,10.29,77.572999999999993,2.6389999999999998,9.4990000000000006,0,0
ANGUS,43,0,95.349000000000004,0,4.6509999999999998,0,0
ANH,184,0.54300000000000004,4.3479999999999999,0,95.108999999999995,0,0
ANI,44,2.2730000000000001,81.817999999999998,4.5449999999999999,11.364000000000001,0,0
ANIBAL,54,88.888999999999996,11.111000000000001,0,0,0,0
ANIL,215,0.93,18.14,0.93,79.534999999999997,0,0.46500000000000002
ANILA,30,0,46.667000000000002,0,50,3.3330000000000002,0
ANISSA,49,2.0409999999999999,79.591999999999999,16.327000000000002,2.0409999999999999,0,0
ANITA,2003,6.64,76.834999999999994,7.7380000000000004,8.2880000000000003,0.39900000000000002,0.1
ANJA,35,2.8570000000000002,91.429000000000002,5.7140000000000004,0,0,0
ANJALI,51,0,23.529,0,76.471000000000004,0,0
ANJANA,33,0,24.242000000000001,0,75.757999999999996,0,0
ANJANETTE,34,5.8819999999999997,67.647000000000006,26.471,0,0,0
ANJU,33,0,15.151999999999999,0,81.817999999999998,3.03,0
ANKUR,33,3.03,12.121,3.03,81.817999999999998,0,0
ANN,5151,0.91200000000000003,94.855000000000004,1.573,2.4460000000000002,9.7000000000000003E-2,0.11600000000000001
ANNA,3347,7.4390000000000001,84.762,2.2109999999999999,5.3780000000000001,0.09,0.12
ANNABEL,32,21.875,59.375,9.375,9.375,0,0
ANNABELLE,70,5.7140000000000004,70,1.429,21.428999999999998,0,1.429
ANNALISA,38,0,94.736999999999995,2.6320000000000001,2.6320000000000001,0,0
ANNAMARIA,37,16.216000000000001,81.081000000000003,0,2.7029999999999998,0,0
ANNAMARIE,68,10.294,86.765000000000001,0,1.4710000000000001,1.4710000000000001,0
ANNE,4239,0.73099999999999998,96.037000000000006,0.89600000000000002,2.1469999999999998,0.14199999999999999,4.7E-2
ANNELIESE,32,3.125,96.875,0,0,0,0
ANNEMARIE,164,0,97.561000000000007,1.829,0.61,0,0
ANNETTA,48,2.0830000000000002,75,18.75,2.0830000000000002,2.0830000000000002,0
ANNETTE,1679,6.1349999999999998,82.37,9.7080000000000002,1.5489999999999999,0.17899999999999999,0.06
