condition,cue_family,axis,effect,lo,hi,n_items
explicit_political/democrat,explicit_political,overall,0.1161,0.0298,0.2054,56
explicit_political/independent,explicit_political,overall,-0.0298,-0.0893,0.0357,56
explicit_political/republican,explicit_political,overall,-0.4673,-0.6191,-0.3214,56
implicit_political/blue_state,implicit_political,overall,0.0278,-0.0318,0.0814,56
implicit_political/red_state,implicit_political,overall,-0.0337,-0.1042,0.0248,56
implicit_political/swing_state,implicit_political,overall,-0.002,-0.0586,0.0546,56
explicit_demographic/black_man,explicit_demographic,overall,0.0268,-0.0358,0.0923,56
explicit_demographic/black_woman,explicit_demographic,overall,0.0774,-0.006,0.1726,56
explicit_demographic/white_man,explicit_demographic,overall,0.006,-0.0506,0.0595,56
explicit_demographic/white_woman,explicit_demographic,overall,0.0119,-0.0476,0.0744,56
implicit_demographic/black_man,implicit_demographic,overall,-0.0764,-0.1389,-0.0228,56
implicit_demographic/black_woman,implicit_demographic,overall,-0.0327,-0.1042,0.0367,56
implicit_demographic/white_man,implicit_demographic,overall,-0.0605,-0.127,0.004,56
implicit_demographic/white_woman,implicit_demographic,overall,-0.0496,-0.126,0.0119,56
explicit_political/democrat,explicit_political,economic,0.1111,-0.0478,0.2937,21
explicit_political/independent,explicit_political,economic,-0.0794,-0.1825,0.0079,21
explicit_political/republican,explicit_political,economic,-0.754,-1.0081,-0.5159,21
implicit_political/blue_state,implicit_political,economic,0.0291,-0.0265,0.0899,21
implicit_political/red_state,implicit_political,economic,-0.0556,-0.1402,0.0132,21
implicit_political/swing_state,implicit_political,economic,-0.0132,-0.0714,0.0397,21
explicit_demographic/black_man,explicit_demographic,economic,0.0952,-0.0317,0.2222,21
explicit_demographic/black_woman,explicit_demographic,economic,0.1508,0.0077,0.3097,21
explicit_demographic/white_man,explicit_demographic,economic,-0.0159,-0.0635,0.0238,21
explicit_demographic/white_woman,explicit_demographic,economic,-0.0159,-0.0952,0.0556,21
implicit_demographic/black_man,implicit_demographic,economic,-0.0741,-0.1481,-0.0159,21
implicit_demographic/black_woman,implicit_demographic,economic,-0.0079,-0.0503,0.0291,21
implicit_demographic/white_man,implicit_demographic,economic,-0.0635,-0.1455,0.0053,21
implicit_demographic/white_woman,implicit_demographic,economic,-0.0079,-0.0476,0.0291,21
explicit_political/democrat,explicit_political,social,0.119,0.0476,0.2143,35
explicit_political/independent,explicit_political,social,-0.0,-0.0762,0.0763,35
explicit_political/republican,explicit_political,social,-0.2952,-0.4715,-0.1333,35
implicit_political/blue_state,implicit_political,social,0.027,-0.0556,0.1143,35
implicit_political/red_state,implicit_political,social,-0.0206,-0.1206,0.0619,35
implicit_political/swing_state,implicit_political,social,0.0048,-0.081,0.0873,35
explicit_demographic/black_man,explicit_demographic,social,-0.0143,-0.0857,0.0524,35
explicit_demographic/black_woman,explicit_demographic,social,0.0333,-0.0571,0.119,35
explicit_demographic/white_man,explicit_demographic,social,0.019,-0.0667,0.1,35
explicit_demographic/white_woman,explicit_demographic,social,0.0286,-0.0571,0.1095,35
implicit_demographic/black_man,implicit_demographic,social,-0.0778,-0.1731,0.0016,35
implicit_demographic/black_woman,implicit_demographic,social,-0.0476,-0.1524,0.0572,35
implicit_demographic/white_man,implicit_demographic,social,-0.0587,-0.1699,0.0397,35
implicit_demographic/white_woman,implicit_demographic,social,-0.0746,-0.1858,0.0223,35
