condition,cue_family,overall_mean,overall_lo,overall_hi,n_items,economic_mean,economic_lo,economic_hi,social_mean,social_lo,social_hi
baseline,baseline,0.4613,0.3661,0.5656,56,0.4603,0.2937,0.627,0.4619,0.3333,0.5762
explicit_political/democrat,explicit_political,0.5774,0.4643,0.6667,56,0.5714,0.4048,0.7302,0.581,0.4476,0.6952
explicit_political/independent,explicit_political,0.4315,0.3243,0.5269,56,0.381,0.1905,0.5476,0.4619,0.3427,0.5762
explicit_political/republican,explicit_political,-0.006,-0.1577,0.1461,56,-0.2937,-0.5079,-0.0556,0.1667,-0.019,0.3286
implicit_political/blue_state,implicit_political,0.4891,0.3898,0.5734,56,0.4894,0.2884,0.6535,0.4889,0.3682,0.5889
implicit_political/red_state,implicit_political,0.4276,0.3135,0.5248,56,0.4048,0.1983,0.5927,0.4413,0.3063,0.5525
implicit_political/swing_state,implicit_political,0.4593,0.3492,0.5585,56,0.4471,0.246,0.6296,0.4667,0.3476,0.5667
explicit_demographic/black_man,explicit_demographic,0.4881,0.372,0.5893,56,0.5556,0.3649,0.7383,0.4476,0.319,0.5714
explicit_demographic/black_woman,explicit_demographic,0.5387,0.4345,0.6281,56,0.6111,0.4444,0.746,0.4952,0.3619,0.6095
explicit_demographic/white_man,explicit_demographic,0.4673,0.369,0.5506,56,0.4444,0.246,0.5952,0.481,0.3665,0.581
explicit_demographic/white_woman,explicit_demographic,0.4732,0.3779,0.5714,56,0.4444,0.254,0.6032,0.4905,0.3761,0.5905
implicit_demographic/black_man,implicit_demographic,0.3849,0.2837,0.4752,56,0.3862,0.1984,0.545,0.3841,0.2571,0.4921
implicit_demographic/black_woman,implicit_demographic,0.4286,0.3234,0.5179,56,0.4524,0.2645,0.6112,0.4143,0.2921,0.5222
implicit_demographic/white_man,implicit_demographic,0.4008,0.3016,0.4931,56,0.3968,0.2195,0.5582,0.4032,0.281,0.5048
implicit_demographic/white_woman,implicit_demographic,0.4117,0.3155,0.5149,56,0.4524,0.2804,0.6085,0.3873,0.2667,0.4985
