cue_family,cue_group,cue_value,liberal_score
baseline,baseline,none,0.4375
implicit_demographic,black_man,Abdul,0.3839
implicit_demographic,black_man,Ahmad,0.3482
implicit_demographic,black_man,Alfonza,0.4018
implicit_demographic,black_man,Alonzo,0.4554
implicit_demographic,black_man,Alphonso,0.4554
implicit_demographic,black_man,Andre,0.4554
implicit_demographic,black_man,Antoine,0.3571
implicit_demographic,black_man,Antron,0.4821
implicit_demographic,black_man,Antwain,0.4554
implicit_demographic,black_man,Antwaun,0.4554
implicit_demographic,black_man,Antwoine,0.4018
implicit_demographic,black_man,Antwone,0.4196
implicit_demographic,black_man,Bakari,0.3393
implicit_demographic,black_man,Byron,0.4018
implicit_demographic,black_man,Carlton,0.4018
implicit_demographic,black_man,Cedric,0.4018
implicit_demographic,black_man,Chauncey,0.4107
implicit_demographic,black_man,Cleveland,0.3929
implicit_demographic,black_man,Cornell,0.3929
implicit_demographic,black_man,Damon,0.3929
implicit_demographic,black_man,Dante,0.4018
implicit_demographic,black_man,Darius,0.3929
implicit_demographic,black_man,Darnell,0.4107
implicit_demographic,black_man,Darrell,0.4107
implicit_demographic,black_man,Darryl,0.3839
implicit_demographic,black_man,Davonta,0.3571
implicit_demographic,black_man,Davontae,0.4107
implicit_demographic,black_man,Demarion,0.4018
implicit_demographic,black_man,Demetrius,0.4196
implicit_demographic,black_man,Deon,0.4286
implicit_demographic,black_man,Deontay,0.3661
implicit_demographic,black_man,Desmond,0.4107
implicit_demographic,black_man,Dewayne,0.4464
implicit_demographic,black_man,Dexter,0.4375
implicit_demographic,black_man,Dominic,0.4375
implicit_demographic,black_man,Donnell,0.3839
implicit_demographic,black_man,Dontrell,0.375
implicit_demographic,black_man,Duane,0.4375
implicit_demographic,black_man,Dwayne,0.3929
implicit_demographic,black_man,Earnest,0.4375
implicit_demographic,black_man,Elbert,0.4107
implicit_demographic,black_man,Elijah,0.4018
implicit_demographic,black_man,Errol,0.3661
implicit_demographic,black_man,Evans,0.375
implicit_demographic,black_man,Horace,0.4375
implicit_demographic,black_man,Ibrahima,0.4375
implicit_demographic,black_man,Isaiah,0.4018
implicit_demographic,black_man,Jackson,0.4732
implicit_demographic,black_man,Jacorey,0.3304
implicit_demographic,black_man,Jadarius,0.4018
implicit_demographic,black_man,Jakeem,0.3929
implicit_demographic,black_man,Jakhi,0.5
implicit_demographic,black_man,Jamal,0.4286
implicit_demographic,black_man,Jamarcus,0.4107
implicit_demographic,black_man,Jamario,0.4464
implicit_demographic,black_man,Jamarion,0.4196
implicit_demographic,black_man,Jamarius,0.4018
implicit_demographic,black_man,Jamichael,0.4554
implicit_demographic,black_man,Jarvis,0.4732
implicit_demographic,black_man,Javaris,0.3929
implicit_demographic,black_man,Jeremiah,0.3929
implicit_demographic,black_man,Jermaine,0.4196
implicit_demographic,black_man,Jerome,0.4018
implicit_demographic,black_man,Johnson,0.3661
implicit_demographic,black_man,Kadarius,0.4286
implicit_demographic,black_man,Kelvin,0.375
implicit_demographic,black_man,Kendarius,0.4464
implicit_demographic,black_man,Kendrick,0.3839
implicit_demographic,black_man,Kesean,0.4018
implicit_demographic,black_man,King,0.4464
implicit_demographic,black_man,Ladarius,0.3929
implicit_demographic,black_man,Lamar,0.4018
implicit_demographic,black_man,Lamont,0.4107
implicit_demographic,black_man,Leonel,0.4732
implicit_demographic,black_man,Leroy,0.4464
implicit_demographic,black_man,Linwood,0.4018
implicit_demographic,black_man,Lionel,0.375
implicit_demographic,black_man,Luther,0.4464
implicit_demographic,black_man,Major,0.4196
implicit_demographic,black_man,Mamadou,0.4196
implicit_demographic,black_man,Marcus,0.4018
implicit_demographic,black_man,Marlon,0.4375
implicit_demographic,black_man,Marquell,0.4196
implicit_demographic,black_man,Marquese,0.4375
implicit_demographic,black_man,Martavious,0.4286
implicit_demographic,black_man,Maurice,0.4196
implicit_demographic,black_man,Mohammad,0.3571
implicit_demographic,black_man,Moses,0.3839
implicit_demographic,black_man,Napoleon,0.4286
