condition,cue_family,axis,effect,lo,hi,n_items
implicit_demographic/black_man,implicit_demographic,overall,-0.0225,-0.1103,0.0671,56
implicit_demographic/black_woman,implicit_demographic,overall,-0.0247,-0.1135,0.0742,56
implicit_demographic/white_man,implicit_demographic,overall,-0.0341,-0.1351,0.0665,56
implicit_demographic/white_woman,implicit_demographic,overall,-0.026,-0.114,0.0731,56
implicit_demographic/black_man,implicit_demographic,economic,-0.085,-0.2163,0.0224,21
implicit_demographic/black_woman,implicit_demographic,economic,-0.0721,-0.1747,0.012,21
implicit_demographic/white_man,implicit_demographic,economic,-0.1012,-0.2295,0.0039,21
implicit_demographic/white_woman,implicit_demographic,economic,-0.0725,-0.1898,0.0176,21
implicit_demographic/black_man,implicit_demographic,social,0.015,-0.1118,0.1532,35
implicit_demographic/black_woman,implicit_demographic,social,0.0038,-0.132,0.1575,35
implicit_demographic/white_man,implicit_demographic,social,0.0061,-0.1149,0.1509,35
implicit_demographic/white_woman,implicit_demographic,social,0.0019,-0.1195,0.1455,35
